iter	Passed	Remaining
400	11319	16909
401	11596	17251
402	11646	17252
403	11681	17233
404	11729	17231
405	11884	17387
406	11919	17366
407	11930	17311
408	11944	17259
409	11963	17215
410	11971	17156
411	11987	17109
412	12003	17060
413	12049	17054
414	12073	17018
415	12084	16965
416	12093	16907
417	12117	16871
418	12124	16812
419	12134	16757
420	12141	16698
421	12152	16644
422	12165	16594
423	12170	16533
424	12183	16483
425	12228	16477
426	12245	16432
427	12257	16380
428	12258	16316
429	12262	16255
430	12270	16199
431	12273	16137
432	12299	16105
433	12309	16053
434	12319	16001
435	12327	15946
436	12335	15892
437	12341	15835
438	12355	15789
439	12361	15732
440	12371	15682
441	12393	15645
442	12404	15596
443	12416	15548
444	12426	15498
445	12439	15452
446	12448	15400
447	12463	15356
448	12475	15309
449	12484	15259
450	12515	15234
451	12525	15185
452	12538	15139
453	12561	15107
454	12572	15059
455	12599	15031
456	12610	14983
457	12619	14934
458	12625	14880
459	12653	14853
460	12659	14800
461	12673	14758
462	12716	14748
463	12734	14710
464	12740	14658
465	12766	14629
466	12782	14589
467	12800	14550
468	12818	14512
469	12836	14475
470	12862	14446
471	12887	14416
472	12912	14386
473	12963	14386
474	12993	14361
475	13021	14334
476	13031	14287
477	13076	14280
478	13084	14231
479	13103	14195
480	13142	14180
481	13216	14203
482	13221	14152
483	13223	14097
484	13280	14102
485	13303	14069
486	13350	14063
487	13368	14026
488	13419	14022
489	13453	14002
490	13524	14019
491	13569	14010
492	13574	13960
493	13606	13936
494	13641	13917
495	13682	13902
496	13698	13863
497	13718	13829
498	13730	13785
499	13753	13753
500	13826	13771
501	13837	13727
502	13956	13790
503	14155	13931
504	14221	13939
505	14253	13915
506	14428	14029
507	14480	14024
508	14532	14018
509	14608	14035
510	14715	14082
511	14726	14035
512	14732	13985
513	14740	13937
514	14754	13894
515	14773	13857
516	14858	13880
517	14956	13916
518	14972	13876
519	15038	13882
520	15050	13837
521	15058	13789
522	15071	13746
523	15101	13718
524	15118	13678
525	15123	13628
526	15132	13581
527	15136	13531
528	15142	13482
529	15148	13433
530	15152	13383
531	15160	13336
532	15183	13303
533	15191	13257
534	15200	13211
535	15214	13170
536	15227	13129
537	15233	13081
538	15243	13037
539	15250	12991
540	15260	12947
541	15270	12903
542	15276	12856
543	15298	12823
544	15308	12780
545	15332	12748
546	15352	12714
547	15361	12670
548	15404	12654
549	15417	12614
550	15474	12610
551	15480	12563
552	15502	12530
553	15547	12516
554	15599	12507
555	15619	12472
556	15667	12461
557	15718	12450
558	15731	12410
559	15743	12369
560	15775	12344
561	15799	12313
562	15816	12276
563	15833	12239
564	15841	12196
565	15846	12151
566	15850	12104
567	15879	12077
568	15887	12034
569	15893	11989
570	15897	11944
571	15905	11901
572	15910	11856
573	15918	11814
574	15923	11769
575	15929	11725
576	15943	11688
577	15967	11658
578	15975	11615
579	15988	11577
580	16005	11542
581	16017	11504
582	16032	11467
583	16066	11444
584	16134	11445
585	16150	11409
586	16177	11381
587	16182	11338
588	16190	11297
589	16195	11254
590	16206	11215
591	16214	11174
592	16226	11137
593	16241	11101
594	16267	11073
595	16285	11039
596	16292	10998
597	16323	10973
598	16336	10936
599	16353	10902
600	16367	10866
601	16376	10827
602	16386	10788
603	16394	10748
604	16400	10707
605	16405	10666
606	16412	10626
607	16417	10584
608	16425	10545
609	16429	10504
610	16435	10463
611	16447	10427
612	16498	10415
613	16603	10437
614	16735	10476
615	16846	10501
616	16926	10506
617	17043	10534
618	17091	10520
619	17191	10536
620	17210	10503
621	17234	10473
622	17241	10433
623	17253	10396
624	17260	10356
625	17288	10328
626	17310	10298
627	17323	10261
628	17329	10221
629	17364	10197
630	17404	10177
631	17431	10150
632	17454	10119
633	17537	10124
634	17562	10095
635	17580	10061
636	17596	10027
637	17608	9991
638	17664	9979
639	17735	9976
640	17802	9970
641	17908	9986
642	17916	9947
643	17925	9909
644	17942	9875
645	17982	9854
646	17992	9816
647	18023	9790
648	18035	9754
649	18054	9721
650	18070	9687
651	18084	9652
652	18097	9616
653	18102	9577
654	18117	9542
655	18122	9503
656	18127	9464
657	18134	9425
658	18155	9394
659	18160	9355
660	18172	9319
661	18192	9288
662	18207	9254
663	18228	9224
664	18269	9203
665	18320	9187
666	18350	9161
667	18415	9152
668	18469	9137
669	18504	9114
670	18570	9105
671	18608	9082
672	18724	9097
673	18844	9114
674	18971	9134
675	19004	9108
676	19015	9072
677	19023	9034
678	19033	8998
679	19055	8967
680	19089	8942
681	19107	8909
682	19117	8873
683	19123	8835
684	19132	8798
685	19139	8760
686	19148	8724
687	19164	8690
688	19177	8656
689	19183	8618
690	19232	8600
691	19311	8595
692	19345	8569
693	19380	8545
694	19401	8514
695	19419	8482
696	19428	8445
697	19440	8411
698	19461	8380
699	19472	8345
700	19484	8310
701	19512	8283
702	19519	8246
703	19531	8211
704	19535	8174
705	19544	8138
706	19550	8102
707	19559	8066
708	19565	8030
709	19567	7992
710	19578	7957
711	19583	7921
712	19600	7889
713	19611	7855
714	19616	7819
715	19627	7785
716	19638	7751
717	19646	7716
718	19660	7683
719	19682	7654
720	19716	7629
721	19724	7594
722	19735	7561
723	19756	7531
724	19771	7499
725	19786	7467
726	19793	7432
727	19809	7401
728	19818	7367
729	19824	7332
730	19838	7300
731	19855	7269
732	19863	7235
733	19869	7200
734	19882	7168
735	19915	7143
736	19931	7112
737	19946	7081
738	19963	7050
739	19976	7018
740	19998	6989
741	20030	6964
742	20041	6932
743	20046	6897
744	20076	6871
745	20089	6840
746	20109	6810
747	20118	6777
748	20124	6743
749	20135	6711
750	20151	6681
751	20184	6656
752	20214	6630
753	20230	6600
754	20243	6569
755	20256	6537
756	20265	6505
757	20275	6473
758	20288	6442
759	20293	6408
760	20305	6377
761	20329	6349
762	20368	6326
763	20387	6297
764	20406	6268
765	20421	6238
766	20435	6208
767	20486	6188
768	20517	6163
769	20523	6130
770	20530	6097
771	20575	6076
772	20580	6043
773	20607	6017
774	20622	5987
775	20627	5954
776	20643	5924
777	20666	5896
778	20702	5873
779	20715	5842
780	20725	5811
781	20733	5779
782	20740	5747
783	20749	5716
784	20755	5684
785	20765	5653
786	20770	5621
787	20783	5591
788	20803	5563
789	20813	5532
790	20818	5500
791	20823	5468
792	20834	5438
793	20949	5435
794	21059	5430
795	21125	5414
796	21168	5391
797	21180	5361
798	21193	5331
799	21200	5300
800	21210	5269
801	21289	5255
802	21342	5236
803	21421	5222
804	21425	5190
805	21439	5160
806	21491	5139
807	21568	5125
808	21655	5112
809	21834	5121
810	21988	5124
811	22066	5108
812	22228	5112
813	22279	5091
814	22347	5072
815	22449	5062
816	22548	5050
817	22666	5043
818	22727	5022
819	22796	5004
820	22943	5002
821	23065	4994
822	23081	4964
823	23095	4932
824	23109	4901
825	23114	4869
826	23127	4838
827	23133	4805
828	23147	4774
829	23431	4799
830	23495	4778
831	23658	4777
832	23686	4748
833	23694	4716
834	23703	4683
835	23719	4653
836	23727	4620
837	23735	4588
838	23751	4557
839	23763	4526
840	23771	4494
841	23782	4462
842	23795	4431
843	23802	4399
844	23814	4368
845	23820	4336
846	23827	4304
847	23833	4272
848	23845	4241
849	23851	4209
850	23866	4178
851	23999	4168
852	24098	4152
853	24195	4136
854	24265	4115
855	24294	4086
856	24316	4057
857	24360	4031
858	24378	4001
859	24449	3980
860	24505	3956
861	24573	3934
862	24693	3920
863	24739	3894
864	24856	3879
865	24937	3858
866	24955	3828
867	25122	3820
868	25138	3789
869	25169	3760
870	25354	3755
871	25415	3730
872	25433	3699
873	25466	3671
874	25600	3657
875	25609	3625
876	25613	3592
877	25616	3559
878	25621	3526
879	25625	3494
880	25630	3461
881	25638	3430
882	25714	3407
883	25744	3378
884	25772	3349
885	25871	3328
886	25910	3300
887	25939	3271
888	26069	3255
889	26096	3225
890	26103	3193
891	26109	3161
892	26120	3129
893	26127	3097
894	26137	3066
895	26158	3036
896	26176	3005
897	26186	2974
898	26207	2944
899	26222	2913
900	26234	2882
901	26241	2851
902	26254	2820
903	26270	2789
904	26277	2758
905	26285	2727
906	26289	2695
907	26297	2664
908	26301	2633
909	26306	2601
910	26313	2570
911	26317	2539
912	26320	2508
913	26327	2477
914	26331	2446
915	26335	2415
916	26342	2384
917	26346	2353
918	26349	2322
919	26353	2291
920	26375	2262
921	26385	2232
922	26391	2201
923	26397	2171
924	26406	2141
925	26418	2111
926	26425	2080
927	26435	2051
928	26442	2020
929	26452	1991
930	26469	1961
931	26479	1931
932	26488	1902
933	26496	1872
934	26504	1842
935	26533	1814
936	26537	1784
937	26545	1754
938	26548	1724
939	26552	1694
940	26567	1665
941	26574	1636
942	26579	1606
943	26583	1576
944	26589	1547
945	26593	1518
946	26598	1488
947	26602	1459
948	26609	1430
949	26616	1400
950	26638	1372
951	26642	1343
952	26650	1314
953	26661	1285
954	26687	1257
955	26694	1228
956	26705	1199
957	26714	1171
958	26724	1142
959	26736	1114
960	26742	1085
961	26751	1056
962	26763	1028
963	26775	999
964	26780	971
965	26785	942
966	26792	914
967	26796	885
968	26800	857
969	26806	829
970	26810	800
971	26814	772
972	26823	744
973	26833	716
974	26845	688
975	26849	660
976	26859	632
977	26863	604
978	26880	576
979	26891	548
980	26910	521
981	26924	493
982	26927	465
983	26936	437
984	26943	410
985	26956	382
986	26978	355
987	27002	327
988	27008	300
989	27014	272
990	27020	245
991	27029	217
992	27034	190
993	27042	163
994	27047	135
995	27052	108
996	27066	81
997	27072	54
998	27078	27
999	27083	0
