iter	RMSE
325	0.3202755277
326	0.3201795184
327	0.3200770467
328	0.3199212466
329	0.3190509796
330	0.3189614999
331	0.3180794187
332	0.3168836633
333	0.3167967033
334	0.3166665235
335	0.3155644358
336	0.3147760691
337	0.3146483032
338	0.3141875547
339	0.3141092223
340	0.3132892934
341	0.3124367768
342	0.3123295192
343	0.3114665533
344	0.3113287459
345	0.3104148874
346	0.3095331645
347	0.308692826
348	0.3082446518
349	0.3073992282
350	0.307325184
351	0.3072532207
352	0.3064968475
353	0.3060631379
354	0.3059748751
355	0.3053285765
356	0.3052040794
357	0.3044596975
358	0.3036374655
359	0.3026935631
360	0.3020163335
361	0.3008968726
362	0.2998276362
363	0.2989469654
364	0.2985097875
365	0.2977942465
366	0.2971575744
367	0.2970964307
368	0.2963178026
369	0.2961164622
370	0.2954479847
371	0.2950331974
372	0.2947565025
373	0.2942644965
374	0.2935645725
375	0.2926233355
376	0.2925116646
377	0.2918330647
378	0.2914291006
379	0.2906932521
380	0.290201128
381	0.2892391516
382	0.2885659791
383	0.2880631484
384	0.2876376678
385	0.2870092118
386	0.2865320116
387	0.286175802
388	0.2855817464
389	0.2847953332
390	0.2843347713
391	0.2837255339
392	0.2836058295
393	0.2827377548
394	0.2825723368
395	0.2821055441
396	0.2818090714
397	0.2813628293
398	0.2807543064
399	0.2801541474
400	0.2795185192
401	0.2788160648
402	0.2779975804
403	0.2772610473
404	0.2764802903
405	0.2761120877
406	0.2757371923
407	0.2752106319
408	0.2750742178
409	0.2743276529
410	0.2741646081
411	0.2735608267
412	0.2734504724
413	0.272969924
414	0.2722450122
415	0.2714885165
416	0.2711032939
417	0.2709601385
418	0.2701756658
419	0.2694797903
420	0.2689831977
421	0.2684512928
422	0.2679156325
423	0.2678108872
424	0.2670151665
425	0.266399519
426	0.2657488902
427	0.2654225326
428	0.2653209635
429	0.2648345176
430	0.2640168579
431	0.2634060702
432	0.26301035
433	0.2623946581
434	0.2618413894
435	0.2611795471
436	0.2607475716
437	0.260649616
438	0.260163353
439	0.2595557243
440	0.2590415719
441	0.2584127949
442	0.2581882968
443	0.2578810506
444	0.2573237182
445	0.2567899616
446	0.2565338967
447	0.2560629782
448	0.255561915
449	0.2552757428
450	0.2547419368
451	0.2546455791
452	0.254195848
453	0.2536912422
454	0.2530958121
455	0.2526502236
456	0.2520801383
457	0.2515477536
458	0.2508614089
459	0.2504756694
460	0.2503820254
461	0.2499921351
462	0.249745179
463	0.2495081042
464	0.248890525
465	0.2483848924
466	0.2480749826
467	0.2479877962
468	0.2476755802
469	0.2470746076
470	0.2467071442
471	0.2461000183
472	0.2456216313
473	0.2451223564
474	0.2448505294
475	0.2444136286
476	0.2439212073
477	0.2433943916
478	0.2427895934
479	0.2423560424
480	0.2419250451
481	0.2416921889
482	0.2416088483
483	0.2415276338
484	0.2410039376
485	0.2404328873
486	0.2401790932
487	0.239699097
488	0.2392120395
489	0.238700884
490	0.2383006902
491	0.2377453775
492	0.2371747425
493	0.2369434208
494	0.2365677929
495	0.2361238929
496	0.2358405516
497	0.2357643668
498	0.2353416187
499	0.235237459
500	0.2348048948
501	0.2343154049
502	0.2336854855
503	0.2332557057
504	0.2331171103
505	0.2326359742
506	0.2322116331
507	0.2317749919
508	0.2313308134
509	0.2310041289
510	0.2305661855
511	0.2300949176
512	0.2300317791
513	0.2297269307
514	0.2292423752
515	0.2288491506
516	0.2285219697
517	0.2283260327
518	0.2282258894
519	0.2280807771
520	0.2277331497
521	0.2276643032
522	0.2274221118
523	0.2270154155
524	0.2265758721
525	0.2261649485
526	0.2257924727
527	0.2253866025
528	0.2249488464
529	0.2245049661
530	0.2244427617
531	0.2239879578
532	0.2234591376
533	0.2228999657
534	0.222481471
535	0.2220991799
536	0.221726436
537	0.2213048566
538	0.2207923877
539	0.2207424646
540	0.2202421884
541	0.219907303
542	0.2194735915
543	0.2191901826
544	0.2190298367
545	0.2186094714
546	0.2180157352
547	0.2176724896
548	0.2172552975
549	0.2171967933
550	0.2171458257
551	0.2170834833
552	0.216865942
553	0.2167748075
554	0.2163782945
555	0.2162919149
556	0.2158784404
557	0.215488138
558	0.2150558093
559	0.2146704565
560	0.2144951513
561	0.214176061
562	0.2136914483
563	0.2133121504
564	0.2129103704
565	0.2125085775
566	0.2124476099
567	0.2121763188
568	0.211844245
569	0.2113359199
570	0.2109788389
571	0.2108152986
572	0.2103435709
573	0.2099293177
574	0.2097891235
575	0.2096064695
576	0.2093323275
577	0.208951937
578	0.2087259455
579	0.2083795071
580	0.2081978186
581	0.2077797683
582	0.2074737828
583	0.2070216512
584	0.2066790027
585	0.2063531611
586	0.2059147315
587	0.2056319554
588	0.2052558323
589	0.2051389559
590	0.2047752906
591	0.2045160527
592	0.2040819472
593	0.2038597904
594	0.2033860224
595	0.2033311385
596	0.2031432708
597	0.2030320493
598	0.2026530316
599	0.2021868107
600	0.2018731549
601	0.2018358435
602	0.2014153533
603	0.2011613648
604	0.2008748222
605	0.2005229912
606	0.2001948919
607	0.2000386919
608	0.1999132144
609	0.1995958418
610	0.1992593416
611	0.1990996572
612	0.1987193309
613	0.1984110931
614	0.1980708009
615	0.1977140109
616	0.1974132961
617	0.1970386519
618	0.1968109896
619	0.1964299084
620	0.1963914344
621	0.1962286116
622	0.1961168827
623	0.1958714297
624	0.1956249521
625	0.1952524429
626	0.1948886861
627	0.1946127672
628	0.1944026496
629	0.193995398
630	0.193868555
631	0.193521182
632	0.1932703537
633	0.1932237125
634	0.192875932
635	0.192597543
636	0.1923695694
637	0.1920641096
638	0.1917907242
639	0.1913961757
640	0.1913460107
641	0.1910823453
642	0.1908539898
643	0.1905797764
644	0.1905536571
645	0.1902315327
646	0.1901027069
647	0.1897830901
648	0.1895169939
649	0.1892760558
650	0.1891896479
651	0.188979927
652	0.1889422834
653	0.1886945494
654	0.1884866311
655	0.1883999845
656	0.1882033069
657	0.1880830339
658	0.1877003282
659	0.1874395973
660	0.1872534756
661	0.187064895
662	0.1867410993
663	0.1863271712
664	0.186124208
665	0.1858102883
666	0.1856107283
667	0.1853221021
668	0.1851151268
669	0.1849142683
670	0.1846777757
671	0.184374549
672	0.1840722432
673	0.1837823673
674	0.1835237276
675	0.1831742586
676	0.1829285817
677	0.1828065588
678	0.1825415802
679	0.1823366274
680	0.1820750032
681	0.1818478637
682	0.1815097419
683	0.1812488681
684	0.1810720684
685	0.1807819069
686	0.1806816742
687	0.1804430874
688	0.1802722602
689	0.1799971597
690	0.1797228939
691	0.1795450066
692	0.179453172
693	0.1793396771
694	0.1793070747
695	0.1792763201
696	0.1790468103
697	0.1787489857
698	0.1784540836
699	0.1781684826
700	0.1781161255
701	0.177767974
702	0.1774372729
703	0.1770904177
704	0.1767805548
705	0.1764576714
706	0.1762272255
707	0.1761140724
708	0.1757504487
709	0.1757166261
710	0.1754093606
711	0.1753341404
712	0.1750835684
713	0.1747790301
714	0.1747311921
715	0.1744311445
716	0.1740648036
717	0.1738149596
718	0.1737022244
719	0.1734628171
720	0.1732320551
721	0.1731282499
722	0.1729808535
723	0.1728879331
724	0.1726118137
725	0.172286463
726	0.1721749967
727	0.1721628416
728	0.1718399437
729	0.1715468507
730	0.1714083429
731	0.1713049179
732	0.171097003
733	0.1708368697
734	0.1705281795
735	0.1703375026
736	0.1703252312
737	0.1701249175
738	0.169814999
739	0.16968895
740	0.1695308365
741	0.1692939606
742	0.1688995696
743	0.1687879788
744	0.1686411638
745	0.1684152268
746	0.1682549062
747	0.1680063837
748	0.1677946839
749	0.1677493172
750	0.1674773585
751	0.1674289052
752	0.1670975676
753	0.1670087375
754	0.1668542422
755	0.1666875297
756	0.1664509537
757	0.1662169845
758	0.1659772507
759	0.16567269
760	0.1655122481
761	0.1652957636
762	0.1650647652
763	0.1648316961
764	0.1645261334
765	0.164317027
766	0.164090332
767	0.1640033771
768	0.1637874217
769	0.1636891211
770	0.1634863324
771	0.16332782
772	0.1631814077
773	0.1628339328
774	0.1627685017
775	0.1624812569
776	0.1622137835
777	0.1620592647
778	0.1618944492
779	0.1617659155
780	0.1615048051
781	0.1613156674
782	0.1612408271
783	0.1609739622
784	0.1608602923
785	0.1606547386
786	0.160386205
787	0.1602239369
788	0.1600475337
789	0.1598211608
790	0.1595688099
791	0.1593342108
792	0.1591203685
793	0.158838846
794	0.1588168193
795	0.1587825383
796	0.1585232834
797	0.1582216329
798	0.158200709
799	0.1581017159
800	0.1579472916
801	0.1576490304
802	0.1573529005
803	0.1571990464
804	0.1570985438
805	0.1569211611
806	0.1565987212
807	0.1563207622
808	0.1561214087
809	0.1561098705
810	0.1560037788
811	0.1559931474
812	0.1558579354
813	0.1557128307
814	0.1556277111
815	0.1555534718
816	0.1552904152
817	0.1550536828
818	0.1548154427
819	0.1546759566
820	0.1544962767
821	0.1542131579
822	0.1540660023
823	0.1538819865
824	0.1537459258
825	0.1534938978
826	0.1533620465
827	0.1532892923
828	0.1530584561
829	0.1528885254
830	0.1527160919
831	0.1526946208
832	0.152598165
833	0.1525876967
834	0.1525628024
835	0.1523468863
836	0.1521052336
837	0.1519198853
838	0.1517828216
839	0.1516370107
840	0.1515087421
841	0.1512950895
842	0.1511688483
843	0.1508780992
844	0.1508534376
845	0.1506180633
846	0.1506047816
847	0.1505667076
848	0.1503655284
849	0.1501769395
850	0.14985128
851	0.1498275434
852	0.1498109221
853	0.1496640895
854	0.1494341065
855	0.1494151785
856	0.1491849769
857	0.1489702238
858	0.148767223
859	0.1486114547
860	0.1483687066
861	0.1482727846
862	0.148022585
863	0.1478377753
864	0.147689585
865	0.1475046569
866	0.1472739126
867	0.1472070989
868	0.1471118775
869	0.1469681429
870	0.1467384523
871	0.146493877
872	0.146379702
873	0.1462692634
874	0.1460296498
875	0.1458595227
876	0.1456574097
877	0.1454893308
878	0.1453005874
879	0.145095637
880	0.1450158411
881	0.1448090474
882	0.1445496967
883	0.144445759
884	0.1443667006
885	0.1442285907
886	0.1440837243
887	0.1439421497
888	0.1437673631
889	0.1436119756
890	0.1434532376
891	0.1431953638
892	0.1430017877
893	0.1428241879
894	0.1426883976
895	0.1426656149
896	0.1425531852
897	0.1424380046
898	0.1421863982
899	0.1419418553
900	0.141735918
901	0.1415662696
902	0.1412378785
903	0.1410886292
904	0.1409573885
905	0.1407165593
906	0.1406745208
907	0.1406011318
908	0.1403997951
909	0.1402089704
910	0.1399810927
911	0.1398559144
912	0.1397108584
913	0.1395461702
914	0.1393972707
915	0.139233736
916	0.1390504583
917	0.1388727522
918	0.1388471509
919	0.1386790442
920	0.1385201889
921	0.1383103038
922	0.1382893146
923	0.1381443452
924	0.1380852505
925	0.1379373879
926	0.1378191172
927	0.1375341606
928	0.1374515282
929	0.1372320719
930	0.1370415359
931	0.1369782541
932	0.1369115122
933	0.1367783497
934	0.1366559171
935	0.1364051436
936	0.1363057255
937	0.1360422238
938	0.1359079955
939	0.1356527636
940	0.1355142087
941	0.135321426
942	0.1351610803
943	0.1350422474
944	0.1349988341
945	0.1348421698
946	0.1347934497
947	0.1346648843
948	0.134569316
949	0.1344397496
950	0.1342095005
951	0.1340099381
952	0.1339926394
953	0.1338816587
954	0.1337699033
955	0.1336437771
956	0.1334899302
957	0.1333245786
958	0.1332200424
959	0.1329626549
960	0.1327110991
961	0.1325255339
962	0.1324632092
963	0.1324427573
964	0.1322217585
965	0.1320875628
966	0.1319567373
967	0.1318825982
968	0.1318615674
969	0.131698295
970	0.131542592
971	0.1313376586
972	0.1311286883
973	0.1311101123
974	0.1309310509
975	0.1307205201
976	0.1305621798
977	0.1305410513
978	0.1304763031
979	0.1303264299
980	0.130173963
981	0.1300732375
982	0.1300696697
983	0.13004784
984	0.1299502358
985	0.1297656989
986	0.129549995
987	0.129407783
988	0.1292921221
989	0.1291655428
990	0.1290841467
991	0.1290536034
992	0.1288745266
993	0.1286953809
994	0.1285286206
995	0.128318806
996	0.1281416744
997	0.1281100265
998	0.1280934157
999	0.1278573613
